Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_1152_6400_1536_ld_1536_1536_1152,Gemm_Rocblas_-1086326045,0.725731
GemmTunableOp_Half_TN,tn_864_6400_1152_ld_1152_1152_864,Default,0.401697
GemmStridedBatchedTunableOp_float_TN,tn_6400_6400_72_B_4_ld_288_288_6400,Gemm_Rocblas_-1086325174,1.94827
GemmStridedBatchedTunableOp_float_NN,nn_72_6400_6400_B_4_ld_288_6400_72,Gemm_Rocblas_-1086327248,2.49741
GemmTunableOp_Half_TN,tn_1152_6400_288_ld_288_288_1152,Default,0.152135
GemmTunableOp_Half_TN,tn_1076_6400_1152_ld_1152_1152_1076,Gemm_Rocblas_-1086326045,0.536224
GemmTunableOp_Half_TN,tn_1152_6400_1076_ld_1076_1076_1152,Default,0.515641
GemmTunableOp_Half_TN,tn_1152_1600_4608_ld_4608_4608_1152,Gemm_Rocblas_-1086326079,0.734266
GemmTunableOp_Half_TN,tn_2560_1600_1152_ld_1152_1152_2560,Gemm_Rocblas_-1086326052,0.364975
GemmTunableOp_Half_TN,tn_336_2048_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326083,0.743642
GemmTunableOp_Half_TN,tn_10240_2048_320_ld_320_320_10240,Default,0.404854
GemmTunableOp_Half_TN,tn_4096_2048_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326063,1.54246
GemmTunableOp_Half_TN,tn_24_2048_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326139,0.0570516
GemmTunableOp_Half_TN,tn_2560_2048_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326045,0.543929
GemmTunableOp_Half_TN,tn_512_2048_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326063,0.211425
GemmTunableOp_Half_TN,tn_320_2048_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326082,0.187699
GemmTunableOp_Half_TN,tn_2560_2048_160_ld_160_160_2560,Gemm_Rocblas_-1086326054,0.0655261
GemmTunableOp_Half_NN,nn_1_2048_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0330205
GemmTunableOp_Half_TN,tn_10240_2048_2560_ld_2560_2560_10240,Default,3.02979
GemmTunableOp_Half_TN,tn_2560_2048_2560_ld_2560_2560_2560,Default,0.862695
GemmTunableOp_Half_TN,tn_3584_2048_2560_ld_2560_2560_3584,Default,1.19368
GemmTunableOp_Half_TN,tn_320_2048_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326082,0.71699
GemmTunableOp_Half_TN,tn_336_876_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326128,0.354255
GemmTunableOp_Half_TN,tn_10240_876_320_ld_320_320_10240,Default,0.200348
GemmTunableOp_Half_TN,tn_4096_876_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326268,0.664149
GemmTunableOp_Half_TN,tn_24_876_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0427574
GemmTunableOp_Half_TN,tn_2560_876_1536_ld_1536_1536_2560,Default,0.243532
GemmTunableOp_Half_TN,tn_512_876_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326082,0.129946
GemmTunableOp_Half_TN,tn_320_876_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326122,0.106695
GemmTunableOp_Half_TN,tn_2560_876_160_ld_160_160_2560,Gemm_Rocblas_-1086326077,0.043889
GemmTunableOp_Half_NN,nn_1_876_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0188903
GemmTunableOp_Half_TN,tn_10240_876_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326045,1.6192
GemmTunableOp_Half_TN,tn_2560_876_2560_ld_2560_2560_2560,Default,0.394741
GemmTunableOp_Half_TN,tn_3584_876_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326045,0.673731
GemmTunableOp_Half_TN,tn_640_876_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326077,0.142088
GemmTunableOp_Half_TN,tn_320_876_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326128,0.363227
GemmTunableOp_Half_TN,tn_640_2048_2560_ld_2560_2560_640,Default,0.299347
GemmTunableOp_Half_TN,tn_336_652_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326082,0.239675
GemmTunableOp_Half_TN,tn_10240_652_320_ld_320_320_10240,Default,0.174621
GemmTunableOp_Half_TN,tn_4096_652_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326063,0.617533
GemmTunableOp_Half_TN,tn_24_652_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0382214
GemmTunableOp_Half_TN,tn_2560_652_1536_ld_1536_1536_2560,Default,0.233565
GemmTunableOp_Half_TN,tn_512_652_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326127,0.10539
GemmTunableOp_Half_TN,tn_320_652_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326128,0.0839749
GemmTunableOp_Half_TN,tn_2560_652_160_ld_160_160_2560,Gemm_Rocblas_-1086326068,0.0375622
GemmTunableOp_Half_NN,nn_1_652_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0166774
GemmTunableOp_Half_TN,tn_10240_652_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326063,1.43885
GemmTunableOp_Half_TN,tn_2560_652_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326268,0.405954
GemmTunableOp_Half_TN,tn_3584_652_2560_ld_2560_2560_3584,Default,0.542463
GemmTunableOp_Half_TN,tn_640_652_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326062,0.134159
GemmTunableOp_Half_TN,tn_320_652_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326082,0.237518
GemmTunableOp_Half_TN,tn_336_1160_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326082,0.446194
GemmTunableOp_Half_TN,tn_10240_1160_320_ld_320_320_10240,Default,0.303189
GemmTunableOp_Half_TN,tn_4096_1160_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326063,1.01262
GemmTunableOp_Half_TN,tn_24_1160_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0508992
GemmTunableOp_Half_TN,tn_336_48_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326210,0.085778
GemmTunableOp_Half_TN,tn_10240_48_320_ld_320_320_10240,Gemm_Rocblas_-1086326255,0.0387145
GemmTunableOp_Half_TN,tn_4096_48_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326140,0.106704
GemmTunableOp_Half_TN,tn_24_48_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326200,0.0244824
GemmTunableOp_Half_TN,tn_2560_48_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326134,0.0603092
GemmTunableOp_Half_TN,tn_512_48_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326204,0.0423387
GemmTunableOp_Half_TN,tn_320_48_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326200,0.0320976
GemmTunableOp_Half_TN,tn_2560_48_160_ld_160_160_2560,Gemm_Rocblas_-1086326241,0.0138186
GemmTunableOp_Half_NN,nn_1_48_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0121642
GemmTunableOp_Half_TN,tn_10240_48_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326044,0.197731
GemmTunableOp_Half_TN,tn_2560_48_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326134,0.0775655
GemmTunableOp_Half_TN,tn_3584_48_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326129,0.099657
GemmTunableOp_Half_TN,tn_640_48_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326140,0.0460979
GemmTunableOp_Half_TN,tn_320_48_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326210,0.0851556
GemmTunableOp_Half_TN,tn_336_852_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326128,0.353052
GemmTunableOp_Half_TN,tn_10240_852_320_ld_320_320_10240,Default,0.198067
GemmTunableOp_Half_TN,tn_4096_852_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326061,0.763168
GemmTunableOp_Half_TN,tn_24_852_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0384073
GemmTunableOp_Half_TN,tn_2560_852_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326277,0.297086
GemmTunableOp_Half_TN,tn_512_852_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326046,0.134569
GemmTunableOp_Half_TN,tn_320_852_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326122,0.106673
GemmTunableOp_Half_TN,tn_2560_852_160_ld_160_160_2560,Gemm_Rocblas_-1086326071,0.0430458
GemmTunableOp_Half_NN,nn_1_852_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0172018
GemmTunableOp_Half_TN,tn_10240_852_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326045,1.78575
GemmTunableOp_Half_TN,tn_2560_852_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326268,0.408742
GemmTunableOp_Half_TN,tn_3584_852_2560_ld_2560_2560_3584,Default,0.752208
GemmTunableOp_Half_TN,tn_640_852_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326077,0.156559
GemmTunableOp_Half_TN,tn_320_852_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326128,0.41023
GemmTunableOp_Half_TN,tn_336_568_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326082,0.234317
GemmTunableOp_Half_TN,tn_10240_568_320_ld_320_320_10240,Default,0.187342
GemmTunableOp_Half_TN,tn_4096_568_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326077,0.600092
